組別,科目名稱                                                                                            ,分數區間均數,人數,百分比,累計人數,累計百分比
01,數甲、物理、化學                                                                                            ,1.5,1090,4.41,24734     ,100.0
02,英文、化學、生物                                                                                            ,298.5,0,0,0         ,0.0
02,英文、化學、生物                                                                                            ,295.5,0,0,0         ,0.0
02,英文、化學、生物                                                                                            ,292.5,1,0.01,1         ,0.01
02,英文、化學、生物                                                                                            ,289.5,8,0.05,9         ,0.05
02,英文、化學、生物                                                                                            ,286.5,17,0.1,26        ,0.15
02,英文、化學、生物                                                                                            ,283.5,39,0.23,65        ,0.38
02,英文、化學、生物                                                                                            ,280.5,62,0.37,127       ,0.75
02,英文、化學、生物                                                                                            ,277.5,110,0.65,237       ,1.40
02,英文、化學、生物                                                                                            ,274.5,159,0.94,396       ,2.33
02,英文、化學、生物                                                                                            ,271.5,172,1.01,568       ,3.35
02,英文、化學、生物                                                                                            ,268.5,241,1.42,809       ,4.76
02,英文、化學、生物                                                                                            ,265.5,218,1.28,1027      ,6.05
02,英文、化學、生物                                                                                            ,262.5,227,1.34,1254      ,7.39
02,英文、化學、生物                                                                                            ,259.5,252,1.48,1506      ,8.87
02,英文、化學、生物                                                                                            ,256.5,257,1.51,1763      ,10.38
02,英文、化學、生物                                                                                            ,253.5,283,1.67,2046      ,12.05
02,英文、化學、生物                                                                                            ,250.5,255,1.5,2301      ,13.55
02,英文、化學、生物                                                                                            ,247.5,267,1.57,2568      ,15.12
02,英文、化學、生物                                                                                            ,244.5,292,1.72,2860      ,16.84
02,英文、化學、生物                                                                                            ,241.5,263,1.55,3123      ,18.39
02,英文、化學、生物                                                                                            ,238.5,251,1.48,3374      ,19.87
02,英文、化學、生物                                                                                            ,235.5,240,1.41,3614      ,21.28
02,英文、化學、生物                                                                                            ,232.5,274,1.61,3888      ,22.90
02,英文、化學、生物                                                                                            ,229.5,242,1.43,4130      ,24.32
02,英文、化學、生物                                                                                            ,226.5,261,1.54,4391      ,25.86
02,英文、化學、生物                                                                                            ,223.5,275,1.62,4666      ,27.48
02,英文、化學、生物                                                                                            ,220.5,269,1.58,4935      ,29.06
02,英文、化學、生物                                                                                            ,217.5,250,1.47,5185      ,30.54
02,英文、化學、生物                                                                                            ,214.5,264,1.55,5449      ,32.09
02,英文、化學、生物                                                                                            ,211.5,279,1.64,5728      ,33.73
02,英文、化學、生物                                                                                            ,208.5,281,1.65,6009      ,35.39
02,英文、化學、生物                                                                                            ,205.5,266,1.57,6275      ,36.96
02,英文、化學、生物                                                                                            ,202.5,291,1.71,6566      ,38.67
02,英文、化學、生物                                                                                            ,199.5,261,1.54,6827      ,40.21
02,英文、化學、生物                                                                                            ,196.5,244,1.44,7071      ,41.64
02,英文、化學、生物                                                                                            ,193.5,264,1.55,7335      ,43.20
02,英文、化學、生物                                                                                            ,190.5,269,1.58,7604      ,44.78
02,英文、化學、生物                                                                                            ,187.5,248,1.46,7852      ,46.24
02,英文、化學、生物                                                                                            ,184.5,227,1.34,8079      ,47.58
02,英文、化學、生物                                                                                            ,181.5,239,1.41,8318      ,48.99
02,英文、化學、生物                                                                                            ,178.5,217,1.28,8535      ,50.27
02,英文、化學、生物                                                                                            ,175.5,227,1.34,8762      ,51.60
02,英文、化學、生物                                                                                            ,172.5,243,1.43,9005      ,53.03
02,英文、化學、生物                                                                                            ,169.5,221,1.3,9226      ,54.33
02,英文、化學、生物                                                                                            ,166.5,249,1.47,9475      ,55.80
02,英文、化學、生物                                                                                            ,163.5,213,1.25,9688      ,57.06
02,英文、化學、生物                                                                                            ,160.5,224,1.32,9912      ,58.37
02,英文、化學、生物                                                                                            ,157.5,225,1.33,10137     ,59.70
02,英文、化學、生物                                                                                            ,154.5,232,1.37,10369     ,61.07
02,英文、化學、生物                                                                                            ,151.5,203,1.2,10572     ,62.26
02,英文、化學、生物                                                                                            ,148.5,208,1.22,10780     ,63.49
02,英文、化學、生物                                                                                            ,145.5,204,1.2,10984     ,64.69
02,英文、化學、生物                                                                                            ,142.5,221,1.3,11205     ,65.99
02,英文、化學、生物                                                                                            ,139.5,216,1.27,11421     ,67.26
02,英文、化學、生物                                                                                            ,136.5,194,1.14,11615     ,68.40
02,英文、化學、生物                                                                                            ,133.5,192,1.13,11807     ,69.53
02,英文、化學、生物                                                                                            ,130.5,219,1.29,12026     ,70.82
02,英文、化學、生物                                                                                            ,127.5,203,1.2,12229     ,72.02
02,英文、化學、生物                                                                                            ,124.5,178,1.05,12407     ,73.07
02,英文、化學、生物                                                                                            ,121.5,202,1.19,12609     ,74.26
02,英文、化學、生物                                                                                            ,118.5,214,1.26,12823     ,75.52
02,英文、化學、生物                                                                                            ,115.5,209,1.23,13032     ,76.75
02,英文、化學、生物                                                                                            ,112.5,206,1.21,13238     ,77.96
02,英文、化學、生物                                                                                            ,109.5,199,1.17,13437     ,79.13
02,英文、化學、生物                                                                                            ,106.5,207,1.22,13644     ,80.35
02,英文、化學、生物                                                                                            ,103.5,188,1.11,13832     ,81.46
02,英文、化學、生物                                                                                            ,100.5,171,1.01,14003     ,82.47
02,英文、化學、生物                                                                                            ,97.5,186,1.1,14189     ,83.56
02,英文、化學、生物                                                                                            ,94.5,190,1.12,14379     ,84.68
02,英文、化學、生物                                                                                            ,91.5,167,0.98,14546     ,85.67
02,英文、化學、生物                                                                                            ,88.5,151,0.89,14697     ,86.55
02,英文、化學、生物                                                                                            ,85.5,169,1,14866     ,87.55
02,英文、化學、生物                                                                                            ,82.5,143,0.84,15009     ,88.39
02,英文、化學、生物                                                                                            ,79.5,155,0.91,15164     ,89.31
02,英文、化學、生物                                                                                            ,76.5,148,0.87,15312     ,90.18
02,英文、化學、生物                                                                                            ,73.5,140,0.82,15452     ,91.0
02,英文、化學、生物                                                                                            ,70.5,118,0.69,15570     ,91.70
02,英文、化學、生物                                                                                            ,67.5,101,0.59,15671     ,92.29
02,英文、化學、生物                                                                                            ,64.5,91,0.54,15762     ,92.83
02,英文、化學、生物                                                                                            ,61.5,79,0.47,15841     ,93.29
02,英文、化學、生物                                                                                            ,58.5,53,0.31,15894     ,93.60
02,英文、化學、生物                                                                                            ,55.5,57,0.34,15951     ,93.94
02,英文、化學、生物                                                                                            ,52.5,49,0.29,16000     ,94.23
02,英文、化學、生物                                                                                            ,49.5,47,0.28,16047     ,94.51
02,英文、化學、生物                                                                                            ,46.5,28,0.16,16075     ,94.67
02,英文、化學、生物                                                                                            ,43.5,23,0.14,16098     ,94.81
02,英文、化學、生物                                                                                            ,40.5,16,0.09,16114     ,94.90
02,英文、化學、生物                                                                                            ,37.5,12,0.07,16126     ,94.97
02,英文、化學、生物                                                                                            ,34.5,6,0.04,16132     ,95.01
02,英文、化學、生物                                                                                            ,31.5,9,0.05,16141     ,95.06
02,英文、化學、生物                                                                                            ,28.5,8,0.05,16149     ,95.11
02,英文、化學、生物                                                                                            ,25.5,7,0.04,16156     ,95.15
02,英文、化學、生物                                                                                            ,22.5,5,0.03,16161     ,95.18
02,英文、化學、生物                                                                                            ,19.5,9,0.05,16170     ,95.23
02,英文、化學、生物                                                                                            ,16.5,10,0.06,16180     ,95.29
02,英文、化學、生物                                                                                            ,13.5,4,0.02,16184     ,95.31
02,英文、化學、生物                                                                                            ,10.5,2,0.01,16186     ,95.32
02,英文、化學、生物                                                                                            ,7.5,2,0.01,16188     ,95.34
02,英文、化學、生物                                                                                            ,4.5,0,0,16188     ,95.34
02,英文、化學、生物                                                                                            ,1.5,792,4.66,16980     ,100.0
03,英文、物理、化學、生物                                                                                         ,398,0,0,0         ,0.0
03,英文、物理、化學、生物                                                                                         ,394,0,0,0         ,0.0
03,英文、物理、化學、生物                                                                                         ,390,2,0.01,2         ,0.01
03,英文、物理、化學、生物                                                                                         ,386,6,0.04,8         ,0.05
03,英文、物理、化學、生物                                                                                         ,382,9,0.06,17        ,0.11
03,英文、物理、化學、生物                                                                                         ,378,30,0.19,47        ,0.29
03,英文、物理、化學、生物                                                                                         ,374,41,0.25,88        ,0.55
03,英文、物理、化學、生物                                                                                         ,370,70,0.43,158       ,0.98
03,英文、物理、化學、生物                                                                                         ,366,93,0.58,251       ,1.56
03,英文、物理、化學、生物                                                                                         ,362,132,0.82,383       ,2.38
03,英文、物理、化學、生物                                                                                         ,358,160,0.99,543       ,3.37
03,英文、物理、化學、生物                                                                                         ,354,160,0.99,703       ,4.36
03,英文、物理、化學、生物                                                                                         ,350,196,1.22,899       ,5.58
03,英文、物理、化學、生物                                                                                         ,346,222,1.38,1121      ,6.96
03,英文、物理、化學、生物                                                                                         ,342,220,1.37,1341      ,8.33
03,英文、物理、化學、生物                                                                                         ,338,233,1.45,1574      ,9.77
03,英文、物理、化學、生物                                                                                         ,334,203,1.26,1777      ,11.03
03,英文、物理、化學、生物                                                                                         ,330,242,1.5,2019      ,12.53
03,英文、物理、化學、生物                                                                                         ,326,250,1.55,2269      ,14.09
03,英文、物理、化學、生物                                                                                         ,322,231,1.43,2500      ,15.52
03,英文、物理、化學、生物                                                                                         ,318,226,1.4,2726      ,16.92
03,英文、物理、化學、生物                                                                                         ,314,222,1.38,2948      ,18.30
03,英文、物理、化學、生物                                                                                         ,310,231,1.43,3179      ,19.74
03,英文、物理、化學、生物                                                                                         ,306,244,1.51,3423      ,21.25
03,英文、物理、化學、生物                                                                                         ,302,227,1.41,3650      ,22.66
03,英文、物理、化學、生物                                                                                         ,298,228,1.42,3878      ,24.07
03,英文、物理、化學、生物                                                                                         ,294,234,1.45,4112      ,25.53
03,英文、物理、化學、生物                                                                                         ,290,269,1.67,4381      ,27.20
03,英文、物理、化學、生物                                                                                         ,286,231,1.43,4612      ,28.63
03,英文、物理、化學、生物                                                                                         ,282,260,1.61,4872      ,30.25
03,英文、物理、化學、生物                                                                                         ,278,272,1.69,5144      ,31.93
03,英文、物理、化學、生物                                                                                         ,274,265,1.65,5409      ,33.58
03,英文、物理、化學、生物                                                                                         ,270,246,1.53,5655      ,35.11
03,英文、物理、化學、生物                                                                                         ,266,260,1.61,5915      ,36.72
03,英文、物理、化學、生物                                                                                         ,262,247,1.53,6162      ,38.25
03,英文、物理、化學、生物                                                                                         ,258,239,1.48,6401      ,39.74
03,英文、物理、化學、生物                                                                                         ,254,275,1.71,6676      ,41.45
03,英文、物理、化學、生物                                                                                         ,250,262,1.63,6938      ,43.07
03,英文、物理、化學、生物                                                                                         ,246,235,1.46,7173      ,44.53
03,英文、物理、化學、生物                                                                                         ,242,267,1.66,7440      ,46.19
03,英文、物理、化學、生物                                                                                         ,238,246,1.53,7686      ,47.72
03,英文、物理、化學、生物                                                                                         ,234,239,1.48,7925      ,49.20
03,英文、物理、化學、生物                                                                                         ,230,240,1.49,8165      ,50.69
03,英文、物理、化學、生物                                                                                         ,226,215,1.33,8380      ,52.02
03,英文、物理、化學、生物                                                                                         ,222,250,1.55,8630      ,53.58
03,英文、物理、化學、生物                                                                                         ,218,235,1.46,8865      ,55.03
03,英文、物理、化學、生物                                                                                         ,214,212,1.32,9077      ,56.35
03,英文、物理、化學、生物                                                                                         ,210,229,1.42,9306      ,57.77
03,英文、物理、化學、生物                                                                                         ,206,237,1.47,9543      ,59.24
03,英文、物理、化學、生物                                                                                         ,202,232,1.44,9775      ,60.68
03,英文、物理、化學、生物                                                                                         ,198,232,1.44,10007     ,62.12
03,英文、物理、化學、生物                                                                                         ,194,231,1.43,10238     ,63.56
03,英文、物理、化學、生物                                                                                         ,190,206,1.28,10444     ,64.84
03,英文、物理、化學、生物                                                                                         ,186,204,1.27,10648     ,66.10
03,英文、物理、化學、生物                                                                                         ,182,197,1.22,10845     ,67.33
03,英文、物理、化學、生物                                                                                         ,178,206,1.28,11051     ,68.61
03,英文、物理、化學、生物                                                                                         ,174,212,1.32,11263     ,69.92
03,英文、物理、化學、生物                                                                                         ,170,198,1.23,11461     ,71.15
03,英文、物理、化學、生物                                                                                         ,166,206,1.28,11667     ,72.43
03,英文、物理、化學、生物                                                                                         ,162,204,1.27,11871     ,73.70
03,英文、物理、化學、生物                                                                                         ,158,186,1.15,12057     ,74.85
03,英文、物理、化學、生物                                                                                         ,154,213,1.32,12270     ,76.17
03,英文、物理、化學、生物                                                                                         ,150,218,1.35,12488     ,77.53
03,英文、物理、化學、生物                                                                                         ,146,202,1.25,12690     ,78.78
03,英文、物理、化學、生物                                                                                         ,142,191,1.19,12881     ,79.97
03,英文、物理、化學、生物                                                                                         ,138,182,1.13,13063     ,81.10
03,英文、物理、化學、生物                                                                                         ,134,186,1.15,13249     ,82.25
03,英文、物理、化學、生物                                                                                         ,130,177,1.1,13426     ,83.35
03,英文、物理、化學、生物                                                                                         ,126,191,1.19,13617     ,84.54
03,英文、物理、化學、生物                                                                                         ,122,164,1.02,13781     ,85.55
03,英文、物理、化學、生物                                                                                         ,118,158,0.98,13939     ,86.53
03,英文、物理、化學、生物                                                                                         ,114,163,1.01,14102     ,87.55
03,英文、物理、化學、生物                                                                                         ,110,147,0.91,14249     ,88.46
03,英文、物理、化學、生物                                                                                         ,106,133,0.83,14382     ,89.28
03,英文、物理、化學、生物                                                                                         ,102,154,0.96,14536     ,90.24
03,英文、物理、化學、生物                                                                                         ,98,120,0.74,14656     ,90.99
03,英文、物理、化學、生物                                                                                         ,94,109,0.68,14765     ,91.66
03,英文、物理、化學、生物                                                                                         ,90,116,0.72,14881     ,92.38
03,英文、物理、化學、生物                                                                                         ,86,85,0.53,14966     ,92.91
03,英文、物理、化學、生物                                                                                         ,82,85,0.53,15051     ,93.44
03,英文、物理、化學、生物                                                                                         ,78,78,0.48,15129     ,93.92
03,英文、物理、化學、生物                                                                                         ,74,55,0.34,15184     ,94.26
03,英文、物理、化學、生物                                                                                         ,70,38,0.24,15222     ,94.50
03,英文、物理、化學、生物                                                                                         ,66,40,0.25,15262     ,94.75
03,英文、物理、化學、生物                                                                                         ,62,26,0.16,15288     ,94.91
03,英文、物理、化學、生物                                                                                         ,58,16,0.1,15304     ,95.01
03,英文、物理、化學、生物                                                                                         ,54,15,0.09,15319     ,95.10
03,英文、物理、化學、生物                                                                                         ,50,10,0.06,15329     ,95.16
03,英文、物理、化學、生物                                                                                         ,46,8,0.05,15337     ,95.21
03,英文、物理、化學、生物                                                                                         ,42,10,0.06,15347     ,95.28
03,英文、物理、化學、生物                                                                                         ,38,9,0.06,15356     ,95.33
03,英文、物理、化學、生物                                                                                         ,34,5,0.03,15361     ,95.36
03,英文、物理、化學、生物                                                                                         ,30,6,0.04,15367     ,95.40
03,英文、物理、化學、生物                                                                                         ,26,6,0.04,15373     ,95.44
03,英文、物理、化學、生物                                                                                         ,22,6,0.04,15379     ,95.47
